47	系统开发资深工程师	航空港区	2020-12-21	13k-18k	13k-18k 经验5-10年 / 本科	Java 软件开发 Golang 数据库	“五险一金、绩效奖金、定期体检、节日福利”	电商,数据服务 / 上市公司 / 2000人以上	富士康科技集团
48	智能应用产品经理	管城区	2020-12-23	10k-15k	10k-15k 经验3-5年 / 本科	金融 BI SQL	“五险一金 周末双休 重点项目”	移动互联网,企业服务 / 未融资 / 150-500人	龙湾科技
49	重点客户主管-上海办1694	二七区	2020-12-24	8k-12k	8k-12k 经验3-5年 / 大专	KA	“五险一金,带薪年假”	电商,消费生活 / 上市公司 / 500-2000人	健合集团
50	电商运营店长	金水区	2020-12-23	6k-10k	6k-10k 经验3-5年 / 大专	电商 品类运营 电商运营 天猫运营 淘宝运营	“五险一金 双休”	其他,移动互联网 / 上市公司 / 500-2000人	新东网
51	商务专员	二七区	2020-12-24	4k-8k	4k-8k 经验1年以下 / 本科	通信/网络设备	“国企背景；六险一金；年终奖；体检；年假；”	移动互联网 / 不需要融资 / 500-2000人	赛尔网络
52	app运营	经开区	2020-12-23	8k-10k	8k-10k 经验1-3年 / 大专	电商 APP推广 运营	“透明的晋升空间”	软件开发 / 不需要融资 / 50-150人	询天信息
53	大数据实习岗	中原区	2020-12-23	4k-6k	4k-6k 经验不限 / 不限	大数据 SQLServer Python 数据架构 数据库开发	“直接进入项目组进行项目合作”	VR丨AR / 未融资 / 150-500人	聚才科技
54	技术研发岗	金水区	2020-12-16	10k-20k	10k-20k 经验不限 / 本科	大数据 金融科技 开发技术 性能测试	“五险一金”	金融,软件开发 / 不需要融资 / 2000人以上	建信金科
55	数据运维分析师	管城回族区	2020-12-23	4k-6k	4k-6k 经验1-3年 / 大专	移动互联网 数据分析 数据库运维	“大牛团队 公司重点项目”	移动互联网,数据服务 / 不需要融资 / 15-50人	金数网科
56	小程序渠道商运营	郑东新区	2020-12-24	4k-8k	4k-8k 经验1-3年 / 大专	工具软件 活动运营 社群运营 B端用户运营 内容运营	“高薪行业 福利齐全 带薪假期 十号发薪日”	移动互联网 / 未融资 / 150-500人	夺冠互动
57	数据挖掘工程师	郑东新区	2020-12-24	10k-15k	10k-15k 经验1-3年 / 本科	金融 移动互联网 数据挖掘 数仓建模 Python	“公司重点项目”	金融,软件开发 / 天使轮 / 150-500人	壹车宜家
58	高级产品经理	高新区	2020-12-15	10k-18k	10k-18k 经验5-10年 / 大专	信息安全 移动互联网 产品设计 用户研究 需求分析 交互设计	“六险一金、提供食宿、年底双薪”	信息安全 / 不需要融资 / 50-150人	崤云安全
59	自然语言算法工程师 (MJ000476)	中原区	2020-10-09	10k-15k	10k-15k 经验1-3年 / 本科	深度学习 文本分类 中文分词 模式识别	“年底双薪 人工智能”	移动互联网,企业服务 / C轮 / 150-500人	追一科技
60	产品经理/高级产品经理	高新区	2020-12-15	11k-15k	11k-15k 经验5-10年 / 本科	信息安全 政务项目 产品策划 用户研究 产品设计 竞品分析	“政府主导、自研项目、六险一金、提供食宿”	信息安全 / 不需要融资 / 50-150人	崤云安全
61	数据安全工程师	郑东新区	2020-11-16	15k-30k	15k-30k 经验1-3年 / 本科	网络安全	“五险一金 住房餐贴 带薪年假 交通补助”	金融 / 上市公司 / 2000人以上	中原银行
62	后端高级产品经理	金水区	2020-10-16	8k-15k	8k-15k 经验3-5年 / 大专	电商 新零售 产品策划 项目管理 产品设计 数据分析	“B轮，新零售，稳定”	电商 / B轮 / 150-500人	河南莲菜网络科技有限公司
63	编辑审核部经理（郑州）	金水区	2020-12-23	15k-25k	15k-25k 经验10年以上 / 本科	电商 本地生活 部门管理 业务流程管理 决策能力 领导力	“五险一金、弹性工作、重点项目”	金融 / 上市公司 / 2000人以上	玖富数科集团
64	陪玩运营	燕庄	2020-12-22	8k-16k	8k-16k 经验1年以下 / 不限	游戏运营 APP运营 用户	“五险带薪年假节日福利 年终奖交补高温补贴”	文娱丨内容,社交 / 不需要融资 / 50-150人	河南塔姆网络科技有限公司
65	用户运营	郑东新区	2020-12-08	6k-8k	6k-8k 经验1-3年 / 大专	用户留存 B端用户运营 裂变拉新	“弹性工作制、单双轮休、餐补”	移动互联网 / 未融资 / 150-500人	夺冠互动
66	竞价专员	郑东新区	2020-12-23	5k-10k	5k-10k 经验3-5年 / 大专	企业服务 软件定制 SEM 数据分析	“晋升空间大,项目提成,年终奖,社保五险”	移动互联网,电商 / 不需要融资 / 15-50人	立信科技
67	网络优化	中原区	2020-11-21	4k-6k	4k-6k 经验1年以下 / 大专	SEO网站优化 SEO网络推广	“上市公司，带薪年假,节日福利”	移动互联网,电商 / 上市公司 / 50-150人	亿恩科技
68	区域校长	金水区	2020-09-09	10k-20k	10k-20k 经验3-5年 / 本科	教育 区域管理	“周末双休 社保五险 带薪年假 多重福利”	移动互联网,教育 / 不需要融资 / 500-2000人	京佳教育
69	社群运营专员(J11982)	郑东新区	2020-12-14	8k-10k	8k-10k 经验1-3年 / 本科	教育 媒体	“五险一金 餐补 带薪年假 节日福利”	教育 / 上市公司 / 500-2000人	郑州新东方
70	hrbp	金水区	2020-11-17	12k-18k	12k-18k 经验5-10年 / 本科	金融科技	“发展前景”	金融,软件开发 / 不需要融资 / 2000人以上	建信金科
71	运营经理/主管	管城区	2020-11-03	10k-15k	10k-15k 经验5-10年 / 本科	新零售 O2O运营 社区运营	“双休、五险一金、节假日福利”	移动互联网,消费生活 / 上市公司 / 2000人以上	顺丰-丰e足食
72	产品经理	管城回族区	2020-11-17	4k-8k	4k-8k 经验1-3年 / 不限	医疗健康	“发展空间大”	其他 / 未融资 / 15-50人	羽铂生物
73	直播运营	金水区	2020-09-03	8k-10k	8k-10k 经验1-3年 / 本科	直播 新零售	“上市集团 发展空间大”	房产家居 / 上市公司 / 2000人以上	红星美凯龙
74	产品运营专员	管城区	2020-12-16	5k-7k	5k-7k 经验3-5年 / 本科	产品运营 业务督导	“双休、五险一金、节假日福利”	移动互联网,消费生活 / 上市公司 / 2000人以上	顺丰-丰e足食
75	sem竞价专员	郑东新区	2020-12-22	5k-10k	5k-10k 经验1-3年 / 大专	软件 SEM APP推广	“五险”	移动互联网,电商 / 不需要融资 / 15-50人	立信科技
76	bd经理	金水区	2020-10-12	8k-15k	8k-15k 经验3-5年 / 本科	社交 移动互联网 BD	“双休，五险一金，年底双薪，节日福利”	移动互联网 / 天使轮 / 50-150人	代代科技
77	郑州市场顾问	中原区	2020-08-21	8k-15k	8k-15k 经验不限 / 本科	市场	“丰厚年终奖”	移动互联网,消费生活 / 未融资 / 150-500人	享道出行
78	重点客户主管-郑州办1612	二七区	2020-11-27	8k-10k	8k-10k 经验3-5年 / 大专	KA	“五险一金,带薪年假”	电商,消费生活 / 上市公司 / 500-2000人	健合集团
79	内容编辑审核经理	金水区	2020-12-10	15k-30k	15k-30k 经验5-10年 / 本科	本地生活 新零售	“职位好 前景好 待遇好”	金融 / 上市公司 / 2000人以上	玖富数科集团
80	用户运营专员	经二路	2020-10-28	7k-14k	7k-14k 经验3-5年 / 本科	本地生活 新闻社区 用户留存 会员体系 社区运营	“省级平台 移动互联网 国企事业单位”	移动互联网,消费生活 / 不需要融资 / 2000人以上	河南日报报业集团有限公司
81	网络推广	丰产路	2020-09-09	5k-10k	5k-10k 经验1-3年 / 本科	广告营销 大数据 推广 SEM SEO	“社保五险、带薪培训、节日福利、双休”	移动互联网,教育 / 不需要融资 / 500-2000人	京佳教育
82	产品运营专员	农业路沿线	2020-12-17	12k-20k	12k-20k 经验不限 / 大专	工具软件 移动互联网 裂变拉新 用户增长 产品运营	“五险一金 弹性工作 包住”	软件开发 / 不需要融资 / 50-150人	玲珑
83	互联网产品经理	高新区	2020-12-10	10k-20k	10k-20k 经验3-5年 / 本科	产品策划 项目管理 原型设计 流程设计	“五险一金 周末双休 缴纳公积金”	软件开发 / 不需要融资 / 15-50人	磐森数字
84	在线教育高级销售经理	金水区	2020-09-25	15k-30k	15k-30k 经验1-3年 / 本科	教育 销售	“以网易自有**资源和有道媒体矩阵为核心”	电商 / 上市公司 / 2000人以上	网易
85	hrbp经理	郑东新区	2020-08-17	11k-18k	11k-18k 经验5-10年 / 本科	O2O 互联网 HRBP 培训 招聘 绩效考核	“项目奖励、期权激励、组织驱动、创业公司”	移动互联网,电商 / 天使轮 / 15-50人	租八戒
86	用户增长专家	中原区	2020-12-18	8k-13k	8k-13k 经验3-5年 / 本科	教育 用户增长 用户运营	“项目提成，发展平台，带薪休假。”	教育,数据服务 / 天使轮 / 15-50人	好鱼科技
87	运营总监	南阳路	2020-09-14	10k-20k	10k-20k 经验5-10年 / 不限	app	“CEO,合伙人,项目期权,薪资优厚”	移动互联网,企业服务 / 未融资 / 15-50人	河南中诚
88	产品经理	商务内环	2020-09-22	10k-15k	10k-15k 经验3-5年 / 本科	项目管理 需求分析 数据分析 用户研究	“五险一金”	移动互联网,消费生活 / A轮 / 150-500人	河南悦如网络技术有限公司
89	产品经理/高级产品经理	北环	2020-10-28	10k-15k	10k-15k 经验3-5年 / 本科	电商 本地生活 用户研究 电商 用户增长 生活服务产品	“上升空间大，利益开放”	消费生活 / 未融资 / 150-500人	弗布勒斯
90	期货交易员	淮河路	2020-11-11	8k-14k	8k-14k 经验3-5年 / 不限	期货 证券 基金	“五险一金，五五分成”	金融 / 不需要融资 / 150-500人	水木润泽商务管理
91	bi工程师	金水区	2020-09-28	8k-15k	8k-15k 经验3-5年 / 本科	ETL MySQL SQLServer 可视化	“五险一金 周末双休 班车接送 年底双薪”	移动互联网 / 不需要融资 / 150-500人	拓普计算机公司
92	运营专员	无	2020-12-08	4k-6k	4k-6k 经验1-3年 / 本科	企业服务 房产服务 运营 活动策划 活动运营 内容运营	“五险双休”	企业服务 / 未融资 / 15-50人	联合商务
93	社群运营经理	财经学院	2020-12-10	8k-15k	8k-15k 经验1-3年 / 本科	用户增长 粉丝运营 社群运营	“集团公司 团队人员多 岗位丰富”	教育,移动互联网 / 未融资 / 150-500人	河南文都
94	数据分析师	二七区	2020-10-09	5k-8k	5k-8k 经验不限 / 本科	移动互联网	“底薪高，提成高，空闲，环境好，还想要什么”	金融、软件开发 / 未融资 / 50-150人	华之夏
95	数据分析师	二七区	2020-09-01	4k-6k	4k-6k 经验不限 / 大专	大数据 金融	“公司不加班，福利待遇好”	金融、软件开发 / 未融资 / 50-150人	华之夏
96	政旅营销策划师	金水区	04:30发布	8k-16k	8k-16k 经验1-3年 / 本科	运营	“六险一金,团队氛围好,带薪休假,餐补”	文娱丨内容 / D轮及以上 / 2000人以上	字节跳动
97	app运营总监	商务内环	2020-12-21	13k-25k	13k-25k 经验5-10年 / 本科	移动互联网 OKR管理 运营管理	“六险一金、年终奖金、绩效奖金、免费零食”	其他 / 未融资 / 15-50人	明之旗
98	产品经理	郑东新区	2020-09-03	5k-10k	5k-10k 经验3-5年 / 大专	电商 产品设计 交互设计 需求分析	“重点培养，前途无限”	移动互联网 / 未融资 / 150-500人	夺冠互动
