52	销售运营	建邺区	04:13发布	9k-16k	9k-16k 经验3-5年 / 本科	运营	“六险一金,餐补”	文娱丨内容 / D轮及以上 / 2000人以上	字节跳动
53	产品运营专员	安德门	09:32发布	5k-8k	5k-8k 经验在校/应届 / 本科	产品运营	“五险一金,周末双休,定期体检,年终奖”	移动互联网 / B轮 / 150-500人	南京擎盾
54	产品实习	奥体	08:24发布	4k-5k	4k-5k 经验在校/应届 / 本科	SaaS	“年终奖 旅游”	移动互联网,社交 / 天使轮 / 15-50人	南京弟齐信息技术有限公司
55	项目执行/客户执行/媒介执行/广告执行AE	双龙大道	09:13发布	5k-7k	5k-7k 经验1-3年 / 大专	广告营销 AE 广告执行	“五险一金 双休 下午茶”	移动互联网 / 上市公司 / 150-500人	蔚蓝云创
56	产品经理	江宁区	10:10发布	15k-25k	15k-25k 经验5-10年 / 本科	其他 策划 AXURE VISIO	“五险一金,餐饮补贴,年终奖金”	其他 / 不需要融资 / 15-50人	51JOB-南京山猫齐动信息技术有限公司
57	后端软件工程师	中华门	00:46发布	10k-15k	10k-15k 经验不限 / 本科	带薪年假 领导好 定期体检 五险一金	“双休、五险一金、成长空间、良好团队氛围”	移动互联网,数据服务 / 天使轮 / 15-50人	讯之智
58	内容运营（小红书方向）	浦口区	09:00发布	5k-10k	5k-10k 经验1-3年 / 大专	其他 kol、小红书	“包住宿,绩效奖金,专业培训”	其他 / 不需要融资 / 150-500人	51JOB-南京名妆堂网络科技有限公司
59	产品经理/高级产品经理	仙林	2天前发布	12k-24k	12k-24k 经验3-5年 / 本科	电商 移动互联网 产品策划 需求分析 竞品分析 产品设计	“平台广阔，发展稳定”	电商,金融 / 上市公司 / 2000人以上	苏宁金融
60	产品经理	雨花台区	2天前发布	6k-9k	6k-9k 经验1-3年 / 大专	数据分析 产品设计 产品策划 需求分析	“扁平管理，工作环境好”	移动互联网,电商 / 天使轮 / 50-150人	商禾信息科技有限公司
61	运营顾问（南京）	秦淮区	3天前发布	15k-20k	15k-20k 经验3-5年 / 本科	本地生活 餐饮 运营 会员体系 商家运营 小程序	“发展空间大 带薪年假 带薪病假”	企业服务 / 上市公司 / 2000人以上	微盟
62	销售经理	珠江路	3天前发布	10k-20k	10k-20k 经验不限 / 大专	银行 互联网金融	“五险一金、节日福利、生日福利、每月团建”	金融 / 不需要融资 / 2000人以上	南京大地信息
63	高级产品经理	雨花台区	3天前发布	14k-18k	14k-18k 经验5-10年 / 大专	电商 企业服务 数据分析 to B	“明确的晋升通道、团队分为你超级nice~”	电商 / A轮 / 50-150人	斑马软件
64	安全策略高级工程师（南京）	玄武区	2020-12-24	15k-25k	15k-25k 经验3-5年 / 本科	医疗健康 云计算 MySQL 业务运维 系统安全运维 安全运维	“发展前景好、绩效奖金、弹性工作、带薪年假”	医疗丨健康,人工智能 / C轮 / 50-150人	九峰医疗
65	后端开发工程师（财务项目）	鼓楼区	2020-12-24	18k-30k	18k-30k 经验1-3年 / 本科	Java 后端 数据库 财务项目	“福利好、团队棒、技术氛围浓厚”	移动互联网 / 不需要融资 / 50-150人	思目创意
66	客户经理（医美）	珠江路	2020-12-23	8k-16k	8k-16k 经验不限 / 大专	BD 销售	“精英团队,高速发展”	金融 / 不需要融资 / 500-2000人	GeexFinance
67	BI工程师	浦口区	2020-12-24	7k-12k	7k-12k 经验在校/应届 / 本科	开发 测试	“五险一金、健康体检、带薪假期”	金融 / 上市公司 / 2000人以上	安硕信息（amarsoft）
68	京东运营	栖霞区	2020-12-23	10k-15k	10k-15k 经验不限 / 本科	电商 运营	“六险一金、带薪年假、奖金激励”	移动互联网,电商 / 不需要融资 / 50-150人	南京合斯满网络科技有限公司
69	信息安全高级咨询顾问（南京）	秦淮区	2020-12-23	18k-25k	18k-25k 经验5-10年 / 本科	信息安全 咨询顾问 等级保护、风险	“五险一金 带薪年假 国内外旅游”	信息安全,数据服务 / 上市公司 / 500-2000人	安恒信息
70	新媒体编辑	栖霞区	2020-12-24	3k-6k	3k-6k 经验不限 / 本科	编辑 网站编辑	“五险一金,弹性工作,环境舒适,节日福利”	教育 / 天使轮 / 15-50人	课窝
71	淘宝客运营	建邺区	2020-12-24	4k-6k	4k-6k 经验在校/应届 / 大专	社交 移动互联网 运营 微信运营 用户运营 电商运营	“发展空间，福利待遇”	移动互联网,社交 / 未融资 / 15-50人	南京加牛物联科技有限公司
72	大数据产品经理	新街口	3天前发布	11k-16k	11k-16k 经验1-3年 / 本科	数据分析 SaaS BI 后台产品	“学习机会多，午餐补贴，餐后水果，节假福利”	医疗丨健康,消费生活 / 上市公司 / 500-2000人	育儿网
