40	数据分析师	黄浦区	14:09发布	20k-40k	20k-40k 经验3-5年 / 本科	金融 SQL 分析师	“持牌机构 待遇优厚 上升空间大”	移动互联网,金融 / 不需要融资 / 150-500人	中原消费金融
41	数据分析师	闵行区	13:39发布	8k-13k	8k-13k 经验1-3年 / 大专	Hadoop Spark Hive 数据分析	“季度奖金 班车 加班费”	企业服务,软件开发 / 上市公司 / 2000人以上	法本信息
42	数据分析Leader（商业地理地产）	上海	20:00发布	25k-45k	25k-45k 经验3-5年 / 本科	数据仓库	“假期多、发展好、有饭补、空间大”	数据服务,广告营销 / B轮 / 150-500人	MobTech
43	数据分析师	静安区	10:28发布	10k-20k	10k-20k 经验1-3年 / 本科	大数据 数据分析	“技术大牛，发展空间，弹性工作，加班晚餐，零食”	金融,数据服务 / A轮 / 50-150人	探知数据
44	内容安全业务-数据分析师	黄浦区	2020-12-24	25k-50k	25k-50k 经验3-5年 / 本科	电商 本地生活	“良好的发展前景”	消费生活 / D轮及以上 / 500-2000人	小红书
45	数据分析师	嘉定区	10:36发布	10k-20k	10k-20k 经验1-3年 / 本科	汽车 SQL Python	“发展前景好”	信息安全,其他 / 上市公司 / 2000人以上	上汽集团全新智能电动汽车
46	数据分析师	中山公园	11:08发布	10k-15k	10k-15k 经验1-3年 / 本科	数据库 SQL	“弹性工作制、五险一金、年假多”	数据服务,其他 / 未融资 / 500-2000人	音智达
47	高级数据分析师	五角场	11:23发布	12k-18k	12k-18k 经验不限 / 硕士	大数据 移动互联网 Python SQL 数据分析 R	“弹性工作,技术驱动,大牛互助”	数据服务,企业服务 / B轮 / 150-500人	脉策科技
48	数据分析师	浦东新区	11:01发布	15k-20k	15k-20k 经验3-5年 / 本科	MySQL	“上市公司”	移动互联网,金融 / 上市公司 / 2000人以上	上海银科创展投资集团有限公司
49	数据分析师	青浦区	10:29发布	12k-16k	12k-16k 经验1-3年 / 本科	大数据 移动互联网 数据分析 SQL	“绩效奖金,福利津贴,交通补贴,假日福利”	数据服务,移动互联网 / B轮 / 50-150人	算话智能科技有限公司
